Animal Name,Representative Name
Sharks (grey reef/oceanic white tip/silky/hammerhead/whale/tiger/sandbar) nudibranches,Sharks Grey Reefoceanic White Tipsilkyhammerheadwhaletigersandbar Nudibranches
Octos,Octos
Mere,Mere
Black seabass,Black Seabass
Sea moth,Sea Moth
Shovel nose ray,Shovel Nose Ray
Bowmouth,Bowmouth
Leopard ray,Leopard Ray
Oceanic blacktip shark,Oceanic Blacktip Shark
Sandbar shark,Sandbar Shark
Black canary mongrel,Black Canary Mongrel
Roncadores,Roncadores
Old red,Old Red
Minnow,Minnow
Spearing mantis shrimp,Spearing Mantis Shrimp
Dusky shark,Dusky Shark
King mackerel,King Mackerel
Giant manta ray,Giant Manta Ray
Arrow crab,Arrow Crab
Scorfano,Scorfano
Croaker,Croaker
Flamingo tong,Flamingo Tong
Box/pufferfish,Boxpufferfish
Manatee (dugong),Manatee Dugong
Acropora,Acropora
Silky shark,Silky Shark
Sheep nudi,Sheep Nudi
Devil sea walker,Devil Sea Walker
Crinoid shrimp,Crinoid Shrimp
Decorator crab,Decorator Crab
Flamboyant cuttlefish,Flamboyant Cuttlefish
Crown of thorns seastar,Crown Of Thorns Seastar
Table coral,Table Coral
Staghorn coral,Staghorn Coral
Cuttlefish / sepia,Cuttlefish Sepia
White eyed moray eel,White Eyed Moray Eel
Rigid shrimpfish,Rigid Shrimpfish
Crocodile fish,Crocodile Fish
